Datetime,女八九舍(含女九餐廳),女五舍,女一舍,女三舍,女二舍,鹿鳴雅舍
2026-01-10 18:00:00,35.64,12.04,21.38,17.16,58.8,
2026-01-10 19:00:00,42.15,13.05,22.23,21.02,42.24,
2026-01-10 20:00:00,34.24,11.19,25.34,26.72,89.64,
2026-01-10 21:00:00,40.54,15.6,22.74,23.08,115.41,
2026-01-10 22:00:00,57.09,12.97,23.14,23.62,46.08,
2026-01-10 23:00:00,46.98,15.95,29.51,30.77,29.76,
2026-01-11 00:00:00,51.25,14.49,31.51,26.33,51.33,
2026-01-11 01:00:00,51.17,11.1,21.43,22.36,128.18,
2026-01-11 02:00:00,32.3,6.91,18.78,19.25,74.71,
2026-01-11 03:00:00,31.23,6.07,18.4,14.58,20.01,
2026-01-11 04:00:00,30.72,6.09,17.23,14.46,17.85,
2026-01-11 05:00:00,26.74,5.71,14.33,17.95,18.37,
2026-01-11 06:00:00,26.65,5.5,13.27,12.94,32.83,
2026-01-11 07:00:00,30.81,4.87,16.16,12.36,51.23,
2026-01-11 08:00:00,34.07,4.97,14.32,12.5,36.61,
2026-01-11 09:00:00,29.67,5.81,14.59,12.04,18.18,
2026-01-11 10:00:00,32.46,5.6,13.33,14.11,20.75,
2026-01-11 11:00:00,35.2,9.52,13.62,12.8,38.94,
2026-01-11 12:00:00,34.64,9.61,16.63,14.32,54.22,
2026-01-11 13:00:00,31.59,6.3,20.46,14.4,29.38,
2026-01-11 14:00:00,40.34,7.53,21.41,16.06,22.52,
2026-01-11 15:00:00,39.81,10.86,17.87,24.55,28.09,
2026-01-11 16:00:00,35.7,8.69,26.72,27.38,55.92,
2026-01-11 17:00:00,33.81,11.66,21.77,22.55,56.46,
2026-01-11 18:00:00,46.25,10.85,23.99,23.35,25.55,
2026-01-11 19:00:00,38.55,10.35,27.86,21.47,125.5,
2026-01-11 20:00:00,53.47,10.57,24.39,23.33,102.96,
2026-01-11 21:00:00,51.53,14.45,25.36,27.4,38.07,
2026-01-11 22:00:00,49.27,11.21,28.01,31.56,73.85,
2026-01-11 23:00:00,62.24,13.21,37.06,35.67,136.1,
2026-01-12 00:00:00,43.16,18.27,30.48,28.87,58.21,
2026-01-12 01:00:00,42.05,10.95,22.68,22.62,31.16,
2026-01-12 02:00:00,36.94,11.92,19.42,18.45,27.83,
2026-01-12 03:00:00,28.55,8.49,17.9,14.94,102.42,
2026-01-12 04:00:00,27.67,6.83,15.84,13.72,105.99,
2026-01-12 05:00:00,27.8,6.69,15.27,13.11,32.47,
2026-01-12 06:00:00,28.59,5.93,13.16,13.44,17.54,
2026-01-12 07:00:00,39.98,5.78,13.64,12.33,18.52,
2026-01-12 08:00:00,39.06,6.56,14.02,17.76,30.21,
2026-01-12 09:00:00,43.21,6.59,14.05,13.18,50.68,
2026-01-12 10:00:00,46.85,8.03,17.52,16.12,53.95,
2026-01-12 11:00:00,52.06,6.29,16.21,14.67,34.77,
2026-01-12 12:00:00,49.98,6.73,20.36,16.86,20.8,
2026-01-12 13:00:00,44.79,7.42,17.08,18.61,21.58,
2026-01-12 14:00:00,41.18,7.15,16.2,17.64,22.51,
2026-01-12 15:00:00,52.96,7.99,17.05,19.85,43.35,
2026-01-12 16:00:00,50.22,7.19,18.04,19.34,59.84,
2026-01-12 17:00:00,54.06,9.64,20.15,21.73,49.6,
2026-01-12 18:00:00,44.53,8.58,21.69,18.85,28.54,
2026-01-12 19:00:00,50.52,10.23,26.07,25.82,29.85,
2026-01-12 20:00:00,44.01,10.02,28.48,25.57,36.24,
2026-01-12 21:00:00,49.3,12.07,29.22,25.51,78.9,
2026-01-12 22:00:00,57.88,14.07,29.01,34.91,164.62,
2026-01-12 23:00:00,59.46,11.27,29.79,28.65,65.48,
2026-01-13 00:00:00,45.31,13.57,25.35,34.05,34.17,
2026-01-13 01:00:00,38.52,10.35,22.17,28.05,110.22,
2026-01-13 02:00:00,31.12,7.34,20.92,19.01,100.15,
2026-01-13 03:00:00,28.49,6.73,18.45,20.18,36.71,
2026-01-13 04:00:00,25.52,6.82,15.3,14.12,18.73,
2026-01-13 05:00:00,26.59,6.94,14.44,13.84,20.18,
2026-01-13 06:00:00,29.15,6.51,13.2,12.83,28.03,
2026-01-13 07:00:00,40.43,6.11,14.78,12.08,49.14,
2026-01-13 08:00:00,44.55,7.12,13.02,13.85,42.45,
2026-01-13 09:00:00,40.74,6.92,13.01,17.83,21.17,
2026-01-13 10:00:00,45.19,8.35,14.73,19.6,24.69,
2026-01-13 11:00:00,56.14,9.31,17.67,15.92,24.98,
2026-01-13 12:00:00,55.12,7.59,14.85,16.51,56.8,
2026-01-13 13:00:00,45.72,6.84,15.86,18.75,42.02,
2026-01-13 14:00:00,34.79,10.23,17.51,14.94,19.97,
2026-01-13 15:00:00,40.97,8.19,20.32,17.06,21.43,
2026-01-13 16:00:00,45.25,7.18,16.7,16.84,21.8,
2026-01-13 17:00:00,51.6,8.16,18.47,24.07,53.09,
2026-01-13 18:00:00,45.28,10.3,17.98,20.0,59.19,
2026-01-13 19:00:00,52.23,10.69,19.23,21.89,35.22,
2026-01-13 20:00:00,42.89,10.05,21.56,24.27,61.82,
2026-01-13 21:00:00,51.05,9.66,28.93,29.8,128.99,
2026-01-13 22:00:00,61.45,11.65,32.2,22.54,59.06,
2026-01-13 23:00:00,45.47,10.1,30.35,22.11,132.7,
2026-01-14 00:00:00,64.31,10.84,25.15,26.23,80.22,
2026-01-14 01:00:00,43.11,13.0,22.48,19.95,24.94,
2026-01-14 02:00:00,33.68,9.58,19.09,19.98,22.86,
2026-01-14 03:00:00,32.41,6.67,17.38,15.03,19.16,
2026-01-14 04:00:00,29.98,7.14,14.72,16.77,46.96,
2026-01-14 05:00:00,24.96,6.85,13.69,14.4,47.2,
2026-01-14 06:00:00,29.94,6.49,12.51,13.19,16.8,
2026-01-14 07:00:00,40.27,9.22,13.02,12.27,20.41,
2026-01-14 08:00:00,44.68,7.05,12.95,12.63,27.6,
2026-01-14 09:00:00,45.86,7.02,12.3,12.55,49.63,
2026-01-14 10:00:00,46.15,6.84,14.77,13.04,82.66,
2026-01-14 11:00:00,50.15,7.31,15.12,13.54,92.13,
2026-01-14 12:00:00,54.04,6.46,18.45,14.18,19.48,
2026-01-14 13:00:00,43.77,6.21,16.09,18.33,23.51,
2026-01-14 14:00:00,37.32,6.15,17.79,22.03,27.94,
2026-01-14 15:00:00,39.06,6.08,14.42,20.27,24.17,
2026-01-14 16:00:00,42.92,6.43,15.36,16.83,52.79,
2026-01-14 17:00:00,47.25,8.41,16.78,17.31,48.13,
2026-01-14 18:00:00,48.36,10.18,18.58,16.75,23.11,
2026-01-14 19:00:00,47.8,13.84,20.87,18.4,24.27,
2026-01-14 20:00:00,46.86,9.04,20.73,21.24,27.92,
2026-01-14 21:00:00,60.39,9.77,25.2,27.21,46.58,
2026-01-14 22:00:00,58.95,10.41,26.78,29.18,65.13,
